country,app,installs,daus,retention_rate_d7,roas_d7,cost
Myanmar,Tales and Dragon,0,0.375,0.0,0.0,0.0
Namibia,Merge Fever,0,0.125,0.0,0.0,0.0
Namibia,Merge HomeTown,0,0.25,0.0,0.0,0.0
Namibia,Tales and Dragon,0,0.125,0.0,0.0,0.0
Nicaragua,Merge HomeTown,0,0.75,0.0,0.0,0.0
Nigeria,Merge HomeTown,0,0.625,0.0,0.0,0.0
Northern Mariana Islands,Merge Fever,0,1.5,0.0,0.0,0.0
"Palestinian Territory, Occupied",Merge HomeTown,0,0.625,0.0,0.0,0.0
Panama,Tales and Dragon,0,0.5,0.0,0.0,0.0
Qatar,Tales and Dragon,0,0.25,0.0,0.0,0.0
Russia,Tales and Dragon,0,1.0,0.0,0.0,0.0
Saint Kitts And Nevis,Merge HomeTown,0,0.125,0.0,0.0,0.0
Saint Lucia,Merge Fever,0,1.375,0.0,0.0,0.0
Saint Martin,Merge Fever,0,1.0,0.0,0.0,0.0
Saint Pierre And Miquelon,Merge Fever,0,0.25,0.0,0.0,0.0
Seychelles,Merge Fever,0,1.125,0.0,0.0,0.3107
Sierra Leone,Merge Fever,0,1.0,0.0,0.0,0.0
Singapore,Tales and Dragon,0,2.375,0.0,0.0,0.0
Slovenia,Tales and Dragon,0,0.5,0.0,0.0,0.0
South Sudan,Merge Fever,0,0.375,0.0,0.0,0.0
Sudan,Merge Fever,0,0.75,0.0,0.0,0.0
